==Frequent itemsets (min_sup=10.0%)
[69] => [25] (Conf: 53%, Supp: 19.5%)
[4] => [102] (Conf: 53%, Supp: 10.3%)
[69] => [65] (Conf: 53%, Supp: 19.5%)
[67] => [69] (Conf: 53%, Supp: 13.6%)
[55] => [25] (Conf: 53%, Supp: 12.2%)
[63] => [11] (Conf: 53%, Supp: 11.6%)
[69] => [11] (Conf: 53%, Supp: 19.4%)
[1,25] => [102] (Conf: 53%, Supp: 10.1%)
[65] => [25] (Conf: 53%, Supp: 12.0%)
[25,69] => [102] (Conf: 53%, Supp: 10.4%)
[11,25] => [69] (Conf: 53%, Supp: 11.1%)
[25] => [11] (Conf: 52%, Supp: 20.9%)
[6] => [11] (Conf: 52%, Supp: 12.4%)
[68,69] => [63] (Conf: 52%, Supp: 10.9%)
[68] => [11] (Conf: 52%, Supp: 18.3%)
[102,25] => [1] (Conf: 52%, Supp: 10.1%)
[39] => [25] (Conf: 52%, Supp: 17.2%)
[64] => [69] (Conf: 52%, Supp: 12.3%)
[55] => [63] (Conf: 52%, Supp: 11.9%)
[85] => [25] (Conf: 52%, Supp: 14.6%)
[89] => [102] (Conf: 51%, Supp: 12.6%)
[68] => [25] (Conf: 51%, Supp: 17.9%)
[51] => [69] (Conf: 51%, Supp: 14.3%)
[11,25] => [1] (Conf: 51%, Supp: 10.7%)
[67] => [25] (Conf: 51%, Supp: 13.0%)
[50] => [102] (Conf: 50%, Supp: 14.9%)
[85] => [63] (Conf: 50%, Supp: 14.2%)
[118] => [69] (Conf: 50%, Supp: 10.6%)
[5] => [11] (Conf: 50%, Supp: 10.1%)
[89] => [69] (Conf: 50%, Supp: 12.3%)
